TotalCharges,Contract_Month-to-month,InternetService_Fiber optic,PaymentMethod_Electronic check,TechSupport_No,OnlineSecurity_No,SeniorCitizen,PaperlessBilling_Yes,StreamingTV_Yes,StreamingMovies_Yes,tenure,Contract_Two year,InternetService_DSL,MultipleLines_No,PaperlessBilling_No,PaymentMethod_Credit card (automatic),TechSupport_Yes,OnlineSecurity_Yes,PhoneService_Yes,Dependents_Yes,Churn
29.85,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
1889.5,0,0,0,1,0,0,0,0,0,34,0,1,1,1,0,0,1,1,0,0
108.15,1,0,0,1,0,0,1,0,0,2,0,1,1,0,0,0,1,1,0,1
1840.75,0,0,0,0,0,0,0,0,0,45,0,1,0,1,0,1,1,0,0,0
151.65,1,1,1,1,1,0,1,0,0,2,0,0,1,0,0,0,0,1,0,1
820.5,1,1,1,1,1,0,1,1,1,8,0,0,0,0,0,0,0,1,0,1
1949.4,1,1,0,1,1,0,1,1,0,22,0,0,0,0,1,0,0,1,1,0
301.9,1,0,0,1,0,0,0,0,0,10,0,1,0,1,0,0,1,0,0,0
3046.05,1,1,1,0,1,0,1,1,1,28,0,0,0,0,0,1,0,1,0,1
3487.95,0,0,0,1,0,0,0,0,0,62,0,1,1,1,0,0,1,1,1,0
587.45,1,0,0,1,0,0,1,0,0,13,0,1,1,0,0,0,1,1,1,0
326.8,0,0,0,0,0,0,0,0,0,16,1,0,1,1,1,0,0,1,0,0
5681.1,0,1,0,1,1,0,0,1,1,58,0,0,0,1,1,0,0,1,0,0
5036.3,1,1,0,1,1,0,1,1,1,49,0,0,0,0,0,0,0,1,0,1
2686.05,1,1,1,0,0,0,1,1,1,25,0,0,1,0,0,1,1,1,0,0
7895.15,0,1,0,0,0,0,0,1,1,69,1,0,0,1,1,1,1,1,1,0
1022.95,0,0,0,0,0,0,0,0,0,52,0,0,1,1,0,0,0,1,0,0
7382.25,0,1,0,1,0,0,0,1,1,71,1,0,0,1,0,0,1,1,1,0
528.35,1,0,0,0,1,0,0,0,0,10,0,1,1,1,1,1,0,1,1,1
1862.9,1,1,1,1,1,0,1,0,1,21,0,0,1,0,0,0,0,1,0,0
39.65,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
202.25,0,0,0,0,0,0,0,0,0,12,0,0,1,1,0,0,0,1,0,0
20.15,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1
3505.1,0,0,0,0,1,0,1,0,0,58,1,1,0,0,1,1,0,1,0,0
2970.3,1,0,0,0,0,0,0,0,0,49,0,1,1,1,1,1,1,1,1,0
1530.6,1,0,0,1,0,0,1,0,0,30,0,1,1,0,0,0,1,1,0,0
4749.15,1,1,1,1,1,0,1,1,1,47,0,0,0,0,0,0,0,1,1,1
30.2,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1
6369.45,0,0,0,0,0,0,1,1,1,72,1,1,0,0,1,1,1,1,0,0
1093.1,1,0,0,1,1,0,1,1,1,17,0,1,1,0,0,0,0,1,1,1
6766.95,0,1,0,0,0,1,1,0,0,71,1,0,0,0,1,1,1,1,0,0
181.65,1,1,0,1,1,1,1,1,1,2,0,0,1,0,1,0,0,1,0,0
1874.45,0,0,0,0,0,0,0,0,0,27,0,1,1,1,0,1,1,1,1,0
20.2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
45.25,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0
7251.7,0,1,0,0,0,0,0,1,0,72,1,0,0,1,0,1,1,1,1,0
316.9,1,1,1,1,1,0,1,0,0,5,0,0,1,0,0,0,0,1,0,1
3548.3,1,1,0,1,1,0,1,0,0,46,0,0,1,0,1,0,0,1,0,0
3549.25,1,1,1,1,1,0,1,1,1,34,0,0,0,0,0,0,0,1,0,1
1105.4,1,1,0,1,1,0,1,1,1,11,0,0,0,0,0,0,0,1,0,1
475.7,0,0,0,1,1,0,0,0,0,10,0,1,1,1,0,0,0,1,1,0
4872.35,0,0,0,1,0,0,1,1,0,70,1,1,0,0,1,0,1,1,1,0
418.25,0,0,0,0,0,0,0,0,0,17,0,0,1,1,0,0,0,1,1,0
